word=asteróide,new_word=asteroide
word=autónoma,new_word=autônoma
word=estréia,new_word=estreia
word=idéias,new_word=ideias
word=des,new_word=dês
word=vôo,new_word=voo
word=le,new_word=lê
word=freqüência,new_word=frequência
word=européia,new_word=europeia
word=pólo,new_word=polo
word=européias,new_word=europeias
word=les,new_word=lês
word=vôos,new_word=voos
word=jóias,new_word=joias
word=assembléia,new_word=assembleia
word=cinqüenta,new_word=cinquenta
word=platéia,new_word=plateia
word=freqüências,new_word=frequências
word=rectangular,new_word=retangular
word=arcade,new_word=árcade
word=asteróides,new_word=asteroides
word=déficit,new_word=deficit
word=microorganismos,new_word=micro-organismos
word=apóia,new_word=apoia
word=jóia,new_word=joia
word=esteróides,new_word=esteroides
word=lingua,new_word=linguá
word=heróica,new_word=heroica
word=assembléias,new_word=assembleias
word=diarréia,new_word=diarreia
word=espermatozóides,new_word=espermatozoides
word=heróico,new_word=heroico
word=yoga,new_word=yôga
word=andróide,new_word=androide
word=lingüistas,new_word=linguistas
word=tablóide,new_word=tabloide
word=apóiam,new_word=apoiam
word=microondas,new_word=micro-ondas
word=imã,new_word=ímã
word=andróides,new_word=androides
word=humanóide,new_word=humanoide
word=ra,new_word=rá
word=freqüentadores,new_word=frequentadores
word=heróicos,new_word=heroicos
word=qua,new_word=quá
word=taoísta,new_word=taoista
word=uréia,new_word=ureia
word=coreógrafa,new_word=coreografa
word=espermatozóide,new_word=espermatozoide
word=estréias,new_word=estreias
word=humanóides,new_word=humanoides
word=tireóide,new_word=tireoide
word=che,new_word=chê
word=epopéia,new_word=epopeia
word=ga,new_word=gá
word=ho,new_word=hó
word=opióides,new_word=opioides
word=platéias,new_word=plateias
word=tifóide,new_word=tifoide
word=desaguam,new_word=deságuam
word=dicotiledóneas,new_word=dicotiledôneas
word=ovóides,new_word=ovoides
word=paranóia,new_word=paranoia
word=protéica,new_word=proteica
word=taoístas,new_word=taoistas
word=elipsóide,new_word=elipsoide
word=pêra,new_word=pera
word=alcalóide,new_word=alcaloide
word=alcalóides,new_word=alcaloides
word=bilíngüe,new_word=bilíngue
word=minóica,new_word=minoica
word=res,new_word=rês
word=traquéia,new_word=traqueia
word=tutsis,new_word=tútsis
word=cefaléia,new_word=cefaleia
word=corticosteróides,new_word=corticosteroides
word=imãs,new_word=ímãs
word=radiofreqüência,new_word=radiofrequência
word=seqüelas,new_word=sequelas
word=tablóides,new_word=tabloides
word=taoísmo,new_word=taoismo
word=aqüíferos,new_word=aquíferos
word=bóia,new_word=boia
word=eqüinos,new_word=equinos
word=haplóides,new_word=haploides
word=heróicas,new_word=heroicas
word=reumatóide,new_word=reumatoide
word=superávit,new_word=superavit
word=ana,new_word=aná
word=antiinflamatórios,new_word=anti-inflamatórios
word=bóias,new_word=boias
word=eqüidade,new_word=equidade
word=microorganismo,new_word=micro-organismo
word=plutónio,new_word=plutônio
word=tiróide,new_word=tiroide
word=açu,new_word=acu
word=diplóide,new_word=diploide
word=geléia,new_word=geleia
word=io,new_word=ió
word=maoísta,new_word=maoista
word=multiuso,new_word=multiúso
word=protéico,new_word=proteico
word=roi,new_word=roí
word=bilíngües,new_word=bilíngues
word=cónegos,new_word=cônegos
word=diplóides,new_word=diploides
word=esteróide,new_word=esteroide
word=geléias,new_word=geleias
word=magister,new_word=magíster
word=poster,new_word=pôster
word=seqüestros,new_word=sequestros
word=dispnéia,new_word=dispneia
word=eloqüente,new_word=eloquente
word=microônibus,new_word=micro-ônibus
word=paranóico,new_word=paranoico
word=quechua,new_word=quéchua
word=tie,new_word=tiê
word=antiinflamatório,new_word=anti-inflamatório
word=linfóide,new_word=linfoide
word=mielóide,new_word=mieloide
word=monocotiledóneas,new_word=monocotiledôneas
word=apnéia,new_word=apneia
word=glicocorticóides,new_word=glicocorticoides
word=haplóide,new_word=haploide
word=hióide,new_word=hioide
word=lingüiça,new_word=linguiça
word=ovóide,new_word=ovoide
word=hemorróidas,new_word=hemorroidas
word=pixéis,new_word=pixeis
word=tranqüilas,new_word=tranquilas
word=transponder,new_word=transpônder
word=arquiinimigo,new_word=arqui-inimigo
word=estóicos,new_word=estoicos
word=geóide,new_word=geoide
word=odisséia,new_word=odisseia
word=viuva,new_word=viuvá
word=corticóides,new_word=corticoides
word=dióicas,new_word=dioicas
word=fo,new_word=fó
word=seqüestrador,new_word=sequestrador
word=sigmóide,new_word=sigmoide
word=artiodáctilos,new_word=artiodátilos
word=benzóico,new_word=benzoico
word=celulóide,new_word=celuloide
word=codex,new_word=códex
word=delinqüente,new_word=delinquente
word=estóico,new_word=estoico
word=linfóides,new_word=linfoides
word=maoístas,new_word=maoistas
word=melanogaster,new_word=melanogáster
word=multiinstrumentista,new_word=multi-instrumentista
word=opióide,new_word=opioide
word=sagüi,new_word=sagui
word=bas,new_word=bás
word=clarabóia,new_word=claraboia
word=diarréias,new_word=diarreias
word=esfenóide,new_word=esfenoide
word=esferóide,new_word=esferoide
word=flavonóides,new_word=flavonoides
word=hetero,new_word=hétero
word=inconseqüente,new_word=inconsequente
word=iniqüidade,new_word=iniquidade
word=maoísmo,new_word=maoismo
word=martini,new_word=martíni
word=minóicos,new_word=minoicos
word=monolito,new_word=monólito
word=multiusos,new_word=multiúsos
word=níqueis,new_word=níquéis
word=paranóica,new_word=paranoica
word=pêras,new_word=peras
word=amebóides,new_word=ameboides
word=antropóides,new_word=antropoides
word=carotenóides,new_word=carotenoides
word=celsius,new_word=célsius
word=dióica,new_word=dioica
word=estóica,new_word=estoica
word=onomatopéia,new_word=onomatopeia
word=quirguizes,new_word=quirguízes
word=aqüífero,new_word=aquífero
word=deltóide,new_word=deltoide
word=dismenorréia,new_word=dismenorreia
word=enjôo,new_word=enjoo
word=estónio,new_word=estônio
word=idea,new_word=ideá
word=lingüeta,new_word=lingueta
word=monóicas,new_word=monoicas
word=paleozóico,new_word=paleozoico
word=antiinflamatória,new_word=anti-inflamatória
word=elipsóides,new_word=elipsoides
word=oléico,new_word=oleico
word=qüinqüênio,new_word=quinquênio
word=solenóide,new_word=solenoide
word=subdirector,new_word=subdiretor
word=tutsi,new_word=tútsi
word=cardióide,new_word=cardioide
word=colóides,new_word=coloides
word=corner,new_word=córner
word=dipnóicos,new_word=dipnoicos
word=enjôos,new_word=enjoos
word=gonorréia,new_word=gonorreia
word=obliqua,new_word=obliquá
word=onomatopéias,new_word=onomatopeias
word=sequóia,new_word=sequoia
word=sequóias,new_word=sequoias
word=cefaléias,new_word=cefaleias
word=planetóide,new_word=planetoide
word=reestréia,new_word=reestreia
word=sagüis,new_word=saguis
word=vênus,new_word=vénus
word=ami,new_word=âmi
word=antiqüíssima,new_word=antiquíssima
word=aracnóide,new_word=aracnoide
word=candida,new_word=cândida
word=chaos,new_word=chãos
word=colóide,new_word=coloide
word=crinóides,new_word=crinoides
word=eicosanóides,new_word=eicosanoides
word=eqüestres,new_word=equestres
word=estrogénios,new_word=estrogênios
word=hiperbolóide,new_word=hiperboloide
word=hióideo,new_word=hioideo
word=mesozóica,new_word=mesozoica
word=negróides,new_word=negroides
word=nematóides,new_word=nematoides
word=oncogenes,new_word=oncógenes
word=paleozóicas,new_word=paleozoicas
word=palo,new_word=paló
word=seqüestradas,new_word=sequestradas
word=alantóide,new_word=alantoide
word=antiimperialista,new_word=anti-imperialista
word=antiintelectualismo,new_word=anti-intelectualismo
word=coróide,new_word=coroide
word=glucocorticóides,new_word=glucocorticoides
word=gângsteres,new_word=gangsteres
word=mineralocorticóides,new_word=mineralocorticoides
word=amebóide,new_word=ameboide
word=amilóide,new_word=amiloide
word=anterozóides,new_word=anterozoides
word=antiinflamatórias,new_word=anti-inflamatórias
word=centróide,new_word=centroide
word=epopéias,new_word=epopeias
word=eqüídeos,new_word=equídeos
word=esquizóide,new_word=esquizoide
word=feiúra,new_word=feiura
word=jibóia,new_word=jiboia
word=mea,new_word=meá
word=monóide,new_word=monoide
word=parasitóides,new_word=parasitoides
word=planetóides,new_word=planetoides
word=poliplóides,new_word=poliploides
word=pterigóideo,new_word=pterigoideo
word=senóide,new_word=senoide
word=tilacóides,new_word=tilacoides
word=ungüento,new_word=unguento
word=biócoros,new_word=biocoros
word=clarabóias,new_word=claraboias
